"Commit SHA","Java File","Old function signature","New function signature"
"200a02a9f77a4a4a570f78f5c89a678c9f7e13f5","redisson-spring-data/redisson-spring-data-16/src/main/java/org/redisson/spring/data/connection/RedissonConnection.java","value(Object, boolean, String)","value(Range.Boundary, String)"
"200a02a9f77a4a4a570f78f5c89a678c9f7e13f5","redisson-spring-data/redisson-spring-data-17/src/main/java/org/redisson/spring/data/connection/RedissonConnection.java","value(Object, boolean, String)","value(Range.Boundary, String)"
"200a02a9f77a4a4a570f78f5c89a678c9f7e13f5","redisson-spring-data/redisson-spring-data-18/src/main/java/org/redisson/spring/data/connection/RedissonConnection.java","value(Object, boolean, String)","value(Range.Boundary, String)"
"200a02a9f77a4a4a570f78f5c89a678c9f7e13f5","redisson-spring-data/redisson-spring-data-20/src/main/java/org/redisson/spring/data/connection/RedissonConnection.java","value(Object, boolean, String)","value(Range.Boundary, String)"
"200a02a9f77a4a4a570f78f5c89a678c9f7e13f5","redisson-spring-data/redisson-spring-data-21/src/main/java/org/redisson/spring/data/connection/RedissonConnection.java","value(Object, boolean, String)","value(Range.Boundary, String)"
"200a02a9f77a4a4a570f78f5c89a678c9f7e13f5","redisson-spring-data/redisson-spring-data-22/src/main/java/org/redisson/spring/data/connection/RedissonConnection.java","value(Object, boolean, String)","value(Range.Boundary, String)"
"200a02a9f77a4a4a570f78f5c89a678c9f7e13f5","redisson-spring-data/redisson-spring-data-23/src/main/java/org/redisson/spring/data/connection/RedissonConnection.java","value(Object, boolean, String)","value(Range.Boundary, String)"
"200a02a9f77a4a4a570f78f5c89a678c9f7e13f5","redisson-spring-data/redisson-spring-data-24/src/main/java/org/redisson/spring/data/connection/RedissonConnection.java","value(Object, boolean, String)","value(Range.Boundary, String)"
"88d1c9507c4bea84711e7a862241a08cc93bab06","redisson/src/main/java/org/redisson/RedissonTimeSeries.java","scanIterator(String, RedisClient, long, String, int)","scanIterator(String, RedisClient, long, int)"
"88d1c9507c4bea84711e7a862241a08cc93bab06","redisson/src/main/java/org/redisson/RedissonTimeSeries.java","scanIteratorAsync(String, RedisClient, long, String, int)","scanIteratorAsync(String, RedisClient, long, int)"
"97c94d9aa3b037732553ac2987fcff5f5bc7f015","redisson/src/main/java/org/redisson/pubsub/AsyncSemaphore.java","tryRun(int)","tryRun()"
"d58ee9acdbc6083d53d58ebbf6300ccd04040890","redisson/src/main/java/org/redisson/client/handler/CommandDecoder.java","decodeCommandBatch(Channel, ByteBuf, QueueCommand, CommandsData)","decodeCommandBatch(Channel, ByteBuf, CommandsData)"
"d58ee9acdbc6083d53d58ebbf6300ccd04040890","redisson/src/main/java/org/redisson/client/handler/CommandDecoder.java","handleResult(CommandData<Object,Object>, List<Object>, Object, boolean, Channel)","handleResult(CommandData<Object,Object>, List<Object>, Object, boolean)"
"d58ee9acdbc6083d53d58ebbf6300ccd04040890","redisson/src/main/java/org/redisson/client/handler/CommandDecoder.java","completeResponse(CommandData<Object,Object>, Object, Channel)","completeResponse(CommandData<Object,Object>, Object)"
"4ddc8ff6a3938fde3be4dda9ef6b8c49b00e4e2e","redisson/src/main/java/org/redisson/RedissonLiveObjectService.java","delete(Object, RMap<String,?>, CommandBatchService, Set<String>)","delete(Object, Class<?>, NamingScheme, CommandBatchService, Set<String>)"
