"Commit SHA","Java File","Old function signature","New function signature"
"47ebf3e63e13986738fa4f6e54ddba26b38bf181","retrofit/src/main/java/retrofit2/HttpServiceMethod.java","adapt(OkHttpCall<ResponseT>, Object[])","adapt(Call<ResponseT>, Object[])"
"4a831735be45ed5b0aa55ea1d70b4c23d2301b4f","retrofit/src/test/java/retrofit2/RequestFactoryTest.java","method(String, RequestBody)","method(List<String>, List<Long>)"
"a12554ea1a6b72ec98a079ece934b6e7d25b6518","retrofit/src/main/java/retrofit2/ServiceMethod.java","toCall(Object)","toCall(Object[])"
"ce787ed52be1eb881e5375aaf14100c1800e4037","retrofit-mock/src/main/java/retrofit2/mock/Calls.java","failure(IOException)","failure(Throwable)"
"2a2196a619fd007828bf212aeab9742a6b318264","retrofit-mock/src/main/java/retrofit2/mock/BehaviorDelegate.java","returning(Call<?>)","returning(Call<R>)"
"2a2196a619fd007828bf212aeab9742a6b318264","retrofit/src/test/java/retrofit2/RequestBuilderTest.java","buildRequest(Class<?>, Object)","buildRequest(Class<T>, Object)"
"2f6d3fbcd0a88fc3e4d154d93404c432b587e013","retrofit-converters/moshi/src/test/java/retrofit2/converter/moshi/MoshiConverterFactoryTest.java","write(JsonWriter, AnInterface)","write(JsonWriter, String)"
"c8c71edd3edf7ba9233cbe661654fd15402d537f","retrofit-converters/protobuf/src/test/java/retrofit2/converter/protobuf/PhoneProtos.java","newBuilder(PhoneProtos.Phone)","newBuilder(retrofit2.converter.protobuf.PhoneProtos.Phone)"
"7b130a665d4cfbabc906e1d123446251220e1535","retrofit/src/main/java/retrofit2/RequestBuilder.java","setRelativeUrl(String)","setRelativeUrl(Object)"
"28d3d650fd694677b770fbfaa229d895a72b76f5","retrofit/src/main/java/retrofit2/RequestBuilder.java","addPart(Headers, RequestBody)","addPart(MultipartBody.Part)"
"f5ec3fbc7332cc9e43da8f16c143f43be16c2210","retrofit/src/main/java/retrofit2/Retrofit.java","baseUrl(BaseUrl)","baseUrl(HttpUrl)"
"1e6581f278bd189906db578e33e054b4796bcea8","retrofit/src/test/java/retrofit2/RetrofitTest.java","requestBodyConverter(Type, Annotation[], Retrofit)","requestBodyConverter(Type, Annotation[], Annotation[], Retrofit)"
"1e6581f278bd189906db578e33e054b4796bcea8","samples/src/main/java/com/example/retrofit/ChunkingConverter.java","requestBodyConverter(Type, Annotation[], Retrofit)","requestBodyConverter(Type, Annotation[], Annotation[], Retrofit)"
"1e6581f278bd189906db578e33e054b4796bcea8","samples/src/main/java/com/example/retrofit/JsonAndXmlConverters.java","requestBodyConverter(Type, Annotation[], Retrofit)","requestBodyConverter(Type, Annotation[], Annotation[], Retrofit)"
"a0594600652b5f1716298e9c444abc0fb5cfc279","retrofit-converters/scalars/src/test/java/retrofit2/ScalarsConverterFactoryTest.java","charObject(Character)","charObject()"
"a0594600652b5f1716298e9c444abc0fb5cfc279","retrofit-converters/scalars/src/test/java/retrofit2/ScalarsConverterFactoryTest.java","integerObject(Integer)","integerObject()"
"a0594600652b5f1716298e9c444abc0fb5cfc279","retrofit-converters/scalars/src/test/java/retrofit2/ScalarsConverterFactoryTest.java","shortObject(Short)","shortObject()"
"a0594600652b5f1716298e9c444abc0fb5cfc279","retrofit-converters/scalars/src/test/java/retrofit2/ScalarsConverterFactoryTest.java","floatObject(Float)","floatObject()"
"a0594600652b5f1716298e9c444abc0fb5cfc279","retrofit-converters/scalars/src/test/java/retrofit2/ScalarsConverterFactoryTest.java","longObject(Long)","longObject()"
"a0594600652b5f1716298e9c444abc0fb5cfc279","retrofit-converters/scalars/src/test/java/retrofit2/ScalarsConverterFactoryTest.java","stringObject(String)","stringObject()"
"a0594600652b5f1716298e9c444abc0fb5cfc279","retrofit-converters/scalars/src/test/java/retrofit2/ScalarsConverterFactoryTest.java","doubleObject(Double)","doubleObject()"
"a0594600652b5f1716298e9c444abc0fb5cfc279","retrofit-converters/scalars/src/test/java/retrofit2/ScalarsConverterFactoryTest.java","booleanObject(Boolean)","booleanObject()"
"a0594600652b5f1716298e9c444abc0fb5cfc279","retrofit-converters/scalars/src/test/java/retrofit2/ScalarsConverterFactoryTest.java","byteObject(Byte)","byteObject()"
"a0594600652b5f1716298e9c444abc0fb5cfc279","retrofit-converters/scalars/src/test/java/retrofit2/ScalarsConverterFactoryTest.java","object(Object)","object()"
"9d0cca1b31e58990b0fcc693e013f0328ea3f376","retrofit/src/main/java/retrofit2/Callback.java","onResponse(Response<T>)","onResponse(Call<T>, Response<T>)"
"9d0cca1b31e58990b0fcc693e013f0328ea3f376","retrofit/src/main/java/retrofit2/Callback.java","onFailure(Throwable)","onFailure(Call<T>, Throwable)"
"9d0cca1b31e58990b0fcc693e013f0328ea3f376","retrofit/src/main/java/retrofit2/OkHttpCall.java","onFailure(Request, IOException)","onFailure(okhttp3.Call, IOException)"
"9d0cca1b31e58990b0fcc693e013f0328ea3f376","retrofit/src/main/java/retrofit2/OkHttpCall.java","onResponse(okhttp3.Response)","onResponse(okhttp3.Call, okhttp3.Response)"
"f91445308c550e63b3bd132caebdbb51721fe743","retrofit/src/main/java/retrofit2/Retrofit.java","callFactory(Call.Factory)","callFactory(okhttp3.Call.Factory)"
