"Commit SHA","Java File","Old function signature","New function signature"
"e4618cfb8d2f1a7452831891be2c7fd190d72e13","spring-boot-project/spring-boot-autoconfigure/src/main/java/org/springframework/boot/autoconfigure/web/ErrorProperties.java","setIncludeStacktrace(IncludeStacktrace)","setIncludeStacktrace(IncludeAttribute)"
"ec683605d4a3a8f99712255ef8ff30f5f5418c0a","spring-boot-project/spring-boot-autoconfigure/src/main/java/org/springframework/boot/autoconfigure/kafka/KafkaProperties.java","setOnlyLogRecordMetadata(Boolean)","setOnlyLogRecordMetadata(boolean)"
"2f6b51babd84edbec568b2bd3dcf9375a4f1acb8","spring-boot-project/spring-boot-autoconfigure/src/main/java/org/springframework/boot/autoconfigure/mongo/embedded/EmbeddedMongoAutoConfiguration.java","embeddedMongoServer(IMongodConfig, IRuntimeConfig, ApplicationContext)","embeddedMongoServer(MongodConfig, RuntimeConfig, ApplicationContext)"
"2f6b51babd84edbec568b2bd3dcf9375a4f1acb8","spring-boot-project/spring-boot-autoconfigure/src/main/java/org/springframework/boot/autoconfigure/mongo/embedded/EmbeddedMongoAutoConfiguration.java","getMongodStarter(IRuntimeConfig)","getMongodStarter(RuntimeConfig)"
"2f6b51babd84edbec568b2bd3dcf9375a4f1acb8","spring-boot-project/spring-boot-autoconfigure/src/test/java/org/springframework/boot/autoconfigure/mongo/embedded/EmbeddedMongoAutoConfigurationTests.java","customMongoServer(IRuntimeConfig, IMongodConfig)","customMongoServer(RuntimeConfig, MongodConfig)"
"c4e41305d54cc076ae8c9713d1f118cf65b25e90","spring-boot-project/spring-boot-tools/spring-boot-loader/src/main/java/org/springframework/boot/loader/jar/Handler.java","openConnection(URLStreamHandler, URL)","openConnection(URL)"
"0389a07f7c99eacc80f2d0a1d324eafae339e1ea","spring-boot-project/spring-boot-actuator/src/main/java/org/springframework/boot/actuate/endpoint/annotation/EndpointDiscoverer.java","isEndpointExposed(Object)","isEndpointExposed(EndpointBean)"
"0389a07f7c99eacc80f2d0a1d324eafae339e1ea","spring-boot-project/spring-boot-actuator/src/main/java/org/springframework/boot/actuate/endpoint/annotation/EndpointDiscoverer.java","isExtensionExposed(Object)","isExtensionExposed(EndpointBean, ExtensionBean)"
"3dc03ac2752a06e015fc8ae7a6eba483b2cc863e","spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/config/ConfigDataEnvironmentContributor.java","ofUnboundImport(ConfigDataResource, ConfigData, int)","ofUnboundImport(ConfigDataLocation, ConfigDataResource, ConfigData, int)"
"3dc03ac2752a06e015fc8ae7a6eba483b2cc863e","spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/config/ConfigDataEnvironmentContributors.java","asContributors(Map<ConfigDataResource,ConfigData>)","asContributors(Map<ConfigDataResolutionResult,ConfigData>)"
"12f2529be50a7e4bd3ed3ed184f94289463049c9","spring-boot-project/spring-boot-actuator/src/test/java/org/springframework/boot/actuate/endpoint/web/annotation/AbstractWebEndpointIntegrationTests.java","read(SecurityContext, String)","read()"
"c22e65584828a5c20c4a945e0635fdf36d982987","spring-boot-project/spring-boot-autoconfigure/src/main/java/org/springframework/boot/autoconfigure/web/OnEnabledResourceChainCondition.java","getEnabledProperty(ConfigurableEnvironment, String, Boolean)","getEnabledProperty(ConfigurableEnvironment, String, String, Boolean)"
"c22e65584828a5c20c4a945e0635fdf36d982987","spring-boot-project/spring-boot-autoconfigure/src/main/java/org/springframework/boot/autoconfigure/web/ResourceProperties.java","getEnabled(boolean, boolean, Boolean)","getEnabled()"
"c22e65584828a5c20c4a945e0635fdf36d982987","spring-boot-project/spring-boot-autoconfigure/src/main/java/org/springframework/boot/autoconfigure/web/reactive/ResourceChainResourceHandlerRegistrationCustomizer.java","configureResourceChain(ResourceProperties.Chain, ResourceChainRegistration)","configureResourceChain(Resources.Chain, ResourceChainRegistration)"
"c22e65584828a5c20c4a945e0635fdf36d982987","spring-boot-project/spring-boot-autoconfigure/src/main/java/org/springframework/boot/autoconfigure/web/reactive/ResourceChainResourceHandlerRegistrationCustomizer.java","getVersionResourceResolver(ResourceProperties.Strategy)","getVersionResourceResolver(Resources.Chain.Strategy)"
"c22e65584828a5c20c4a945e0635fdf36d982987","spring-boot-project/spring-boot-autoconfigure/src/main/java/org/springframework/boot/autoconfigure/web/reactive/WebFluxAutoConfiguration.java","welcomePageRouterFunctionMapping(ApplicationContext, WebFluxProperties, ResourceProperties)","welcomePageRouterFunctionMapping(ApplicationContext, WebFluxProperties, org.springframework.boot.autoconfigure.web.ResourceProperties, WebProperties)"
"c22e65584828a5c20c4a945e0635fdf36d982987","spring-boot-project/spring-boot-autoconfigure/src/main/java/org/springframework/boot/autoconfigure/web/servlet/WebMvcAutoConfiguration.java","getVersionResourceResolver(ResourceProperties.Strategy)","getVersionResourceResolver(Strategy)"
